Year,Sex,NOC,Count
1980,F,AUS,28
1980,F,FRA,23
1980,F,GBR,70
1980,F,GDR,124
1980,F,HUN,81
1980,F,IND,16
1980,F,ITA,38
1980,F,JAM,7
1980,F,POR,1
1980,F,PRK,8
1980,F,URS,149
1980,M,AUS,92
1980,M,FRA,98
1980,M,GBR,149
1980,M,GDR,222
1980,M,HUN,182
1980,M,IND,56
1980,M,ITA,121
1980,M,JAM,11
1980,M,POR,10
1980,M,PRK,39
1980,M,URS,340
1984,F,AUS,73
1984,F,CAN,151
1984,F,CHN,83
1984,F,FRA,49
1984,F,FRG,123
1984,F,GBR,108
1984,F,IND,6
1984,F,ISV,3
1984,F,ITA,46
1984,F,JAM,14
1984,F,JPN,52
1984,F,POR,9
1984,F,USA,183
1984,M,AUS,169
1984,M,BAN,1
1984,M,CAN,257
1984,M,CHN,132
1984,M,FRA,189
1984,M,FRG,267
1984,M,GBR,229
1984,M,IND,42
1984,M,ISV,26
1984,M,ITA,222
1984,M,JAM,31
1984,M,JPN,174
1984,M,PAK,31
1984,M,POR,29
1984,M,QAT,24
1984,M,USA,339
1988,F,AUS,72
1988,F,CAN,105
1988,F,CHN,124
1988,F,FRA,74
1988,F,FRG,103
1988,F,GBR,126
1988,F,GDR,102
1988,F,HUN,36
1988,F,IND,7
1988,F,ISV,3
1988,F,ITA,41
1988,F,JAM,11
1988,F,JPN,69
1988,F,POR,10
1988,F,URS,162
1988,F,USA,195
1988,M,AUS,180
1988,M,BAN,6
1988,M,CAN,223
1988,M,CHN,149
1988,M,FRA,192
1988,M,FRG,244
1988,M,GBR,219
1988,M,GDR,157
1988,M,HUN,152
1988,M,IND,39
1988,M,ISV,19
1988,M,ITA,212
1988,M,JAM,24
1988,M,JPN,186
1988,M,PAK,30
1988,M,POR,55
1988,M,QAT,10
1988,M,URS,319
1988,M,USA,332
1992,F,AUS,92
1992,F,BAN,1
1992,F,CAN,116
1992,F,CHN,127
1992,F,FRA,98
1992,F,GBR,142
1992,F,GER,163
1992,F,HUN,58
1992,F,IND,6
1992,F,ISV,5
1992,F,ITA,76
1992,F,JAM,14
1992,F,JPN,81
1992,F,POR,22
1992,F,PRK,28
1992,F,USA,190
1992,M,AUS,187
1992,M,BAN,5
1992,M,CAN,179
1992,M,CHN,117
1992,M,FRA,241
1992,M,GBR,229
1992,M,GER,300
1992,M,HUN,159
1992,M,IND,46
1992,M,ISV,20
1992,M,ITA,228
1992,M,JAM,22
1992,M,JPN,175
1992,M,PAK,27
1992,M,POR,68
1992,M,PRK,36
1992,M,QAT,28
1992,M,USA,355
1996,F,AUS,167
1996,F,BAN,1
1996,F,CAN,151
1996,F,CHN,183
1996,F,FRA,102
1996,F,GBR,116
1996,F,GER,187
1996,F,HUN,66
1996,F,IND,9
1996,F,ISV,6
1996,F,ITA,104
1996,F,JAM,19
1996,F,JPN,149
1996,F,PAK,1
1996,F,POR,24
1996,F,PRK,9
1996,F,RUS,158
1996,F,USA,273
1996,M,AUS,250
1996,M,BAN,3
1996,M,CAN,152
1996,M,CHN,111
1996,M,FRA,197
1996,M,GBR,184
1996,M,GER,279
1996,M,HUN,147
1996,M,IND,40
1996,M,ISV,6
1996,M,ITA,236
1996,M,JAM,27
1996,M,JPN,157
1996,M,PAK,23
1996,M,POR,83
1996,M,PRK,15
1996,M,QAT,12
1996,M,RUS,232
1996,M,USA,375
2000,F,AUS,276
2000,F,BAN,3
2000,F,CAN,144
2000,F,CHN,180
2000,F,FRA,125
2000,F,GBR,129
2000,F,GER,181
2000,F,HUN,69
2000,F,IND,21
2000,F,ISV,3
2000,F,ITA,115
2000,F,JAM,26
2000,F,JPN,110
2000,F,PAK,1
2000,F,POR,13
2000,F,PRK,17
2000,F,RUS,194
2000,F,USA,253
2000,M,AUS,341
2000,M,BAN,2
2000,M,CAN,150
2000,M,CHN,91
2000,M,FRA,211
2000,M,GBR,181
2000,M,GER,241
2000,M,HUN,109
2000,M,IND,44
2000,M,ISV,6
2000,M,ITA,246
2000,M,JAM,22
2000,M,JPN,156
2000,M,PAK,26
2000,M,POR,48
2000,M,PRK,14
2000,M,QAT,17
2000,M,RUS,241
2000,M,USA,333
2004,F,AUS,202
2004,F,BAN,1
2004,F,CAN,132
2004,F,CHN,247
2004,F,FRA,113
2004,F,GBR,103
2004,F,GER,191
2004,F,HUN,90
2004,F,IND,25
2004,F,ISV,1
2004,F,ITA,135
2004,F,JAM,25
2004,F,JPN,167
2004,F,PAK,2
2004,F,POR,17
2004,F,PRK,23
2004,F,RUS,202
2004,F,USA,254
2004,M,AUS,268
2004,M,BAN,3
2004,M,CAN,130
2004,M,CHN,136
2004,M,FRA,195
2004,M,GBR,161
2004,M,GER,250
2004,M,HUN,119
2004,M,IND,48
2004,M,ISV,5
2004,M,ITA,229
2004,M,JAM,22
2004,M,JPN,139
2004,M,PAK,24
2004,M,POR,64
2004,M,PRK,13
2004,M,QAT,15
2004,M,RUS,244
2004,M,USA,279
2008,F,AUS,199
2008,F,BAN,2
2008,F,CAN,146
2008,F,CHN,289
2008,F,FRA,121
2008,F,GBR,141
2008,F,GER,183
2008,F,HUN,83
2008,F,IND,22
2008,F,ISV,1
2008,F,ITA,130
2008,F,JAM,27
2008,F,JPN,165
2008,F,PAK,2
2008,F,POR,26
2008,F,PRK,37
2008,F,RUS,223
2008,F,USA,282
2008,M,AUS,233
2008,M,BAN,3
2008,M,CAN,186
2008,M,CHN,310
2008,M,FRA,188
2008,M,GBR,163
2008,M,GER,237
2008,M,HUN,88
2008,M,IND,31
2008,M,ISV,6
2008,M,ITA,203
2008,M,JAM,23
2008,M,JPN,167
2008,M,PAK,19
2008,M,POR,51
2008,M,PRK,21
2008,M,QAT,20
2008,M,RUS,231
2008,M,USA,306
2012,F,AUS,184
2012,F,BAN,1
2012,F,CAN,154
2012,F,CHN,215
2012,F,FRA,142
2012,F,GBR,257
2012,F,GER,171
2012,F,HUN,59
2012,F,IND,23
2012,F,ISV,3
2012,F,ITA,123
2012,F,JAM,22
2012,F,JPN,155
2012,F,PAK,2
2012,F,POR,32
2012,F,PRK,37
2012,F,QAT,4
2012,F,RUS,226
2012,F,USA,268
2012,M,AUS,221
2012,M,BAN,4
2012,M,CAN,119
2012,M,CHN,160
2012,M,FRA,182
2012,M,GBR,273
2012,M,GER,212
2012,M,HUN,93
2012,M,IND,58
2012,M,ISV,4
2012,M,ITA,158
2012,M,JAM,23
2012,M,JPN,136
2012,M,PAK,19
2012,M,POR,44
2012,M,PRK,15
2012,M,QAT,8
2012,M,RUS,203
2012,M,USA,262
2016,F,AUS,212
2016,F,BAN,3
2016,F,CAN,183
2016,F,CHN,241
2016,F,FRA,167
2016,F,GBR,159
2016,F,GER,194
2016,F,HUN,66
2016,F,IND,51
2016,F,ISV,2
2016,F,ITA,141
2016,F,JAM,31
2016,F,JPN,164
2016,F,PAK,3
2016,F,POR,29
2016,F,PRK,20
2016,F,QAT,2
2016,F,RUS,142
2016,F,USA,291
2016,M,AUS,208
2016,M,BAN,4
2016,M,CAN,127
2016,M,CHN,151
2016,M,FRA,225
2016,M,GBR,201
2016,M,GER,224
2016,M,HUN,88
2016,M,IND,61
2016,M,ISV,5
2016,M,ITA,168
2016,M,JAM,25
2016,M,JPN,171
2016,M,PAK,4
2016,M,POR,61
2016,M,PRK,11
2016,M,QAT,35
2016,M,RUS,142
2016,M,USA,264
